#SampleID	Sample_ID	Location	Collected	Stored_in_Celsius	Tree	Gallery	Host	Raffaelea	Diameter	Gender	Alive_Dead	Longitude	Latidude	Elevation	Nanodrop	260_280	260_230	Qubit_ng_ml	Qubit_ng_μl	Total_DNA_in_ng	ITS_Amp	Description
RM37	P1	Olney	2017	-80	2	B	Eucalyptus_pilularis	no	36	Female	Alive	-33.0966	151.3519	432.207	29.5	2	1.78	201	4.02	188.94	Y	
RM38	P2	Olney	2017	-80	2	B	Eucalyptus_pilularis	no	36	Female	Alive	-33.0966	151.3519	432.207	28.9	1.84	1.15	183	3.66	172.02	Y	
RM39	P3	Olney	2017	-80	2	B	Eucalyptus_pilularis	no	36	Female	Alive	-33.0966	151.3519	432.207	28.6	1.81	1.43	182	3.64	171.08	Y	
RM40	P4	Olney	2017	-80	2	B	Eucalyptus_pilularis	no	36	Female	Alive	-33.0966	151.3519	432.207	23.2	1.83	1.44	156	3.12	146.64	Y	
RM41	P5	Olney	2017	-80	2	B	Eucalyptus_pilularis	yes	36	Female	Alive	-33.0966	151.3519	432.207	26.9	1.9	1.3	186	3.72	174.84	Y	
RM42	P6	Olney	2017	-80	2	B	Eucalyptus_pilularis	yes	36	Male	Alive	-33.0966	151.3519	432.207	21.7	1.79	0.88	136	2.72	127.84	Y	
RM43	P7	Olney	2017	-80	12	A	Eucalyptus_pilularis	no	59.842	Female	Alive	-33.0955	151.3521	405.036	26.3	1.82	1.42	167	3.34	156.98	Y	
RM44	P8	Olney	2017	-80	12	A	Eucalyptus_pilularis	no	59.842	Female	Alive	-33.0955	151.3521	405.036	27.5	1.77	0.49	166	3.32	156.04	Y	
RM45	P9	Olney	2017	-80	12	A	Eucalyptus_pilularis	yes	59.842	Female	Alive	-33.0955	151.3521	405.036	25.5	1.9	1.29	154	3.08	144.76	Y	
RM46	P10	Olney	2017	-80	12	A	Eucalyptus_pilularis	no	59.842	Female	Alive	-33.0955	151.3521	405.036	22.9	1.9	0.75	132	2.64	124.08	Y	
RM47	P11	Olney	2017	-80	12	A	Eucalyptus_pilularis	yes	59.842	Female	Alive	-33.0955	151.3521	405.036	24.2	1.84	1.39	156	3.12	146.64	Y	
RM48	P12	Olney	2017	-80	12	A	Eucalyptus_pilularis	yes	59.842	Male	Alive	-33.0955	151.3521	405.036	23.1	1.83	1.02	110	2.2	103.4	Y	
RM49	P13	Olney	2016	-80	21	A	Eucalyptus_pilularis	yes	58.57	Female	Alive	-33.0977	151.3499	394.8842	26.7	1.8	0.89	177	3.54	166.38	Y	
RM50	P14	Olney	2016	-80	21	A	Eucalyptus_pilularis	no	58.57	Female	Alive	-33.0977	151.3499	394.8842	21.9	1.87	1.18	146	2.92	137.24	Y	
RM51	P15	Olney	2016	-80	21	A	Eucalyptus_pilularis	no	58.57	Female	Alive	-33.0977	151.3499	394.8842	25.6	1.85	1.24	158	3.16	148.52	Y	
